"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 03월 05일","923.48","923.32","924.42","907.41","2.17B","-0.29%"
"2021년 03월 04일","926.20","929.09","929.09","916.75","2.45B","-0.49%"
"2021년 03월 03일","930.80","922.52","930.86","920.07","3.39B","0.83%"
"2021년 03월 02일","923.17","919.17","936.61","914.49","2.96B","1.01%"
"2021년 02월 26일","913.94","930.54","930.54","904.18","2.64B","-2.38%"
"2021년 02월 25일","936.21","910.15","936.94","910.15","2.45B","3.30%"
"2021년 02월 24일","906.31","936.80","944.71","906.31","3.62B","-3.23%"
"2021년 02월 23일","936.60","952.23","952.23","934.35","3.39B","-1.85%"
"2021년 02월 22일","954.29","965.55","969.96","953.48","2.73B","-1.12%"
"2021년 02월 19일","965.11","967.65","968.92","944.74","4.39B","-0.24%"
"2021년 02월 18일","967.42","980.01","981.83","967.42","4.41B","-1.26%"
"2021년 02월 17일","979.77","977.93","979.90","970.55","5.07B","0.21%"
"2021년 02월 16일","977.74","982.81","987.89","974.30","2.99B","-0.43%"
"2021년 02월 15일","981.97","965.83","982.78","965.83","3.03B","1.83%"
"2021년 02월 10일","964.31","958.45","964.66","951.21","2.81B","0.67%"
"2021년 02월 09일","957.85","961.31","966.22","957.69","3.20B","-0.30%"
"2021년 02월 08일","960.78","966.94","968.03","956.93","2.13B","-0.69%"
"2021년 02월 05일","967.42","965.61","970.60","961.26","1.99B","0.29%"
"2021년 02월 04일","964.58","970.93","970.95","958.05","2.16B","-0.63%"
"2021년 02월 03일","970.69","965.99","970.85","958.47","1.91B","0.71%"
"2021년 02월 02일","963.81","958.85","972.35","953.72","1.96B","0.72%"
"2021년 02월 01일","956.92","927.92","957.26","918.92","1.55B","3.04%"
"2021년 01월 29일","928.73","963.58","970.95","918.68","2.19B","-3.38%"
"2021년 01월 28일","961.23","980.70","980.70","957.17","1.95B","-2.50%"
"2021년 01월 27일","985.92","996.42","1,000.75","984.37","2.86B","-0.81%"
"2021년 01월 26일","994.00","1,000.00","1,007.52","989.03","2.65B","-0.53%"
"2021년 01월 25일","999.30","981.05","999.64","981.05","1.85B","1.97%"
"2021년 01월 22일","979.98","982.20","984.67","975.05","2.29B","-0.14%"
"2021년 01월 21일","981.40","979.82","984.98","975.62","2.00B","0.38%"
"2021년 01월 20일","977.66","959.52","978.88","959.52","2.44B","2.08%"
"2021년 01월 19일","957.75","945.33","962.14","936.93","2.11B","1.38%"
"2021년 01월 18일","944.67","963.18","967.05","940.11","2.04B","-2.05%"
"2021년 01월 15일","964.44","981.72","982.31","963.09","1.84B","-1.62%"
"2021년 01월 14일","980.29","979.10","980.29","973.63","1.74B","0.12%"
"2021년 01월 13일","979.13","974.14","982.66","972.10","1.64B","0.56%"
"2021년 01월 12일","973.72","977.14","982.46","956.72","1.74B","-0.30%"
"2021년 01월 11일","976.63","988.38","993.20","953.36","2.20B","-1.13%"
"2021년 01월 08일","987.79","990.70","995.22","978.12","2.56B","-0.11%"
"2021년 01월 07일","988.86","983.28","993.91","982.27","2.26B","0.76%"
"2021년 01월 06일","981.39","987.25","990.88","977.37","1.98B","-0.44%"
"2021년 01월 05일","985.76","976.43","985.76","965.53","1.81B","0.83%"
"2021년 01월 04일","977.62","968.86","977.62","960.52","1.70B","0.95%"
"2020년 12월 30일","968.42","957.38","971.04","955.38","1.64B","1.15%"
"2020년 12월 29일","957.41","928.58","957.48","928.58","1.51B","3.28%"
"2020년 12월 28일","927.00","930.07","937.76","923.96","1.64B","-0.18%"
"2020년 12월 24일","928.68","924.34","933.39","920.53","1.72B","0.60%"
"2020년 12월 23일","923.17","932.25","938.91","918.44","1.92B","-0.60%"
"2020년 12월 22일","928.73","953.48","953.48","928.51","1.86B","-2.61%"
"2020년 12월 21일","953.58","948.64","954.34","940.98","1.93B","0.67%"
"2020년 12월 18일","947.24","945.81","948.59","942.46","2.11B","0.34%"
"2020년 12월 17일","944.04","938.88","948.43","938.88","2.65B","0.47%"
"2020년 12월 16일","939.65","932.41","941.45","932.41","2.00B","0.90%"
"2020년 12월 15일","931.27","930.73","934.30","921.27","2.10B","0.19%"
"2020년 12월 14일","929.54","930.78","935.90","924.52","1.61B","0.12%"
"2020년 12월 11일","928.44","925.30","929.23","923.39","1.91B","0.73%"
"2020년 12월 10일","921.70","913.02","922.13","905.76","2.67B","0.86%"
"2020년 12월 09일","913.81","908.05","917.21","904.45","2.70B","0.77%"
"2020년 12월 08일","906.84","927.69","933.14","906.31","2.60B","-2.16%"
"2020년 12월 07일","926.88","914.15","927.35","910.36","2.24B","1.44%"
"2020년 12월 04일","913.76","909.99","914.27","908.24","2.17B","0.68%"
"2020년 12월 03일","907.61","901.61","907.72","900.09","2.36B","0.92%"
"2020년 12월 02일","899.34","894.94","899.87","891.61","1.89B","0.90%"
"2020년 12월 01일","891.29","889.53","892.22","883.24","2.13B","0.58%"
"2020년 11월 30일","886.11","890.65","891.53","885.65","1.74B","0.06%"
"2020년 11월 27일","885.56","876.37","886.20","875.45","1.83B","1.26%"
"2020년 11월 26일","874.53","868.60","875.26","861.05","1.92B","1.09%"
"2020년 11월 25일","865.12","877.35","878.76","855.28","2.49B","-0.80%"
"2020년 11월 24일","872.10","876.65","876.89","868.89","3.19B","-0.14%"
"2020년 11월 23일","873.29","872.22","875.26","868.60","2.12B","0.36%"
"2020년 11월 20일","870.18","863.07","870.78","861.29","2.15B","1.19%"
"2020년 11월 19일","859.94","851.68","860.99","849.72","2.25B","0.96%"
"2020년 11월 18일","851.74","842.55","852.27","840.43","2.33B","1.46%"
"2020년 11월 17일","839.47","846.55","846.55","836.00","1.79B","-0.93%"
"2020년 11월 16일","847.33","843.49","849.80","841.60","1.62B","0.98%"
"2020년 11월 13일","839.14","837.28","839.54","826.17","1.88B","-0.11%"
"2020년 11월 12일","840.08","844.64","846.87","835.95","2.07B","0.02%"
"2020년 11월 11일","839.90","840.89","842.76","829.53","2.28B","-0.11%"
"2020년 11월 10일","840.79","844.22","844.22","835.27","1.82B","-1.22%"
"2020년 11월 09일","851.21","845.81","851.21","845.17","1.74B","1.72%"
"2020년 11월 06일","836.78","849.18","849.39","832.27","1.92B","-0.95%"
"2020년 11월 05일","844.80","833.37","845.81","831.78","1.66B","2.16%"
"2020년 11월 04일","826.97","826.04","828.89","814.76","1.80B","1.04%"
"2020년 11월 03일","818.46","810.01","821.28","810.01","1.67B","1.93%"
"2020년 11월 02일","802.95","796.46","805.92","789.85","1.54B","1.30%"
"2020년 10월 30일","792.65","814.16","814.59","791.30","1.88B","-2.61%"
"2020년 10월 29일","813.93","791.02","814.16","791.02","1.94B","0.96%"
"2020년 10월 28일","806.20","784.88","806.20","784.88","2.05B","2.87%"
"2020년 10월 27일","783.73","771.84","794.04","766.96","2.06B","0.73%"
"2020년 10월 26일","778.02","808.06","808.06","776.70","1.63B","-3.71%"
"2020년 10월 23일","807.98","817.70","817.70","804.75","1.61B","-0.58%"
"2020년 10월 22일","812.70","826.71","826.71","812.70","1.73B","-2.16%"
"2020년 10월 21일","830.67","827.35","830.95","819.66","1.49B","0.73%"
"2020년 10월 20일","824.65","816.16","825.96","803.24","1.66B","0.29%"
"2020년 10월 19일","822.25","836.83","838.63","821.50","1.70B","-1.39%"
"2020년 10월 16일","833.84","845.63","849.20","822.58","2.28B","-1.26%"
"2020년 10월 15일","844.44","861.37","861.37","833.55","2.24B","-1.98%"
"2020년 10월 14일","861.48","873.04","875.02","859.88","2.37B","-1.20%"
"2020년 10월 13일","871.92","878.15","878.15","865.95","2.28B","-0.18%"
"2020년 10월 12일","873.50","875.25","875.25","868.01","2.01B","0.22%"
"2020년 10월 08일","871.62","875.12","875.59","867.63","1.99B","0.23%"
"2020년 10월 07일","869.66","856.70","869.69","856.66","2.01B","0.82%"
"2020년 10월 06일","862.58","863.74","866.67","855.65","1.98B","0.49%"
"2020년 10월 05일","858.39","848.67","858.82","843.06","1.68B","1.21%"
"2020년 09월 29일","848.15","844.69","848.59","839.68","2.08B","1.46%"
"2020년 09월 28일","835.91","820.72","836.15","819.86","1.94B","3.42%"
"2020년 09월 25일","808.28","817.95","820.74","799.53","2.21B","0.16%"
"2020년 09월 24일","806.95","825.74","833.04","804.28","2.20B","-4.33%"
"2020년 09월 23일","843.45","855.57","856.14","821.89","2.25B","0.09%"
"2020년 09월 22일","842.72","867.72","867.89","838.13","1.97B","-2.80%"
"2020년 09월 21일","866.99","889.94","892.34","859.40","1.97B","-2.46%"
"2020년 09월 18일","888.88","889.47","892.39","878.78","1.77B","0.42%"
"2020년 09월 17일","885.18","897.88","898.43","883.50","2.29B","-1.24%"
"2020년 09월 16일","896.28","901.75","905.56","891.99","2.41B","-0.35%"
"2020년 09월 15일","899.46","898.63","899.64","893.24","2.10B","0.59%"
"2020년 09월 14일","894.17","894.38","894.80","886.48","1.70B","0.64%"
"2020년 09월 11일","888.44","881.23","888.44","877.58","1.99B","0.47%"
"2020년 09월 10일","884.30","881.12","884.30","874.77","1.99B","1.71%"
"2020년 09월 09일","869.47","864.91","877.67","864.17","2.37B","-1.00%"
"2020년 09월 08일","878.29","884.72","887.01","874.31","2.52B","-0.07%"
"2020년 09월 07일","878.88","872.03","879.36","864.39","1.88B","1.48%"
"2020년 09월 04일","866.04","841.37","866.90","841.37","1.73B","-0.93%"
"2020년 09월 03일","874.13","871.02","874.16","869.84","1.76B","0.85%"
"2020년 09월 02일","866.74","859.58","866.87","858.23","1.84B","1.57%"
"2020년 09월 01일","853.37","850.58","854.22","847.53","1.84B","0.60%"
"2020년 08월 31일","848.24","847.97","852.54","839.63","1.89B","0.82%"
"2020년 08월 28일","841.30","841.76","850.38","837.86","2.11B","0.59%"
"2020년 08월 27일","836.40","842.38","842.83","832.74","2.95B","-0.59%"
"2020년 08월 26일","841.35","838.86","842.48","827.27","2.15B","0.60%"
"2020년 08월 25일","836.31","821.53","836.41","820.02","1.61B","2.52%"
"2020년 08월 24일","815.74","798.20","815.74","787.93","1.52B","2.48%"
"2020년 08월 21일","796.01","801.14","802.70","781.41","1.66B","0.62%"
"2020년 08월 20일","791.14","816.63","821.11","785.00","1.81B","-3.37%"
"2020년 08월 19일","818.74","810.86","818.74","805.52","1.60B","2.31%"
"2020년 08월 18일","800.22","834.55","834.55","794.91","1.90B","-4.17%"
"2020년 08월 14일","835.03","854.71","854.71","831.15","1.73B","-2.31%"
"2020년 08월 13일","854.77","854.82","862.98","852.15","1.81B","1.08%"
"2020년 08월 12일","845.60","858.88","858.88","836.58","1.67B","-1.70%"
"2020년 08월 11일","860.23","863.07","863.72","858.00","1.53B","-0.29%"
"2020년 08월 10일","862.76","859.53","863.80","854.48","1.46B","0.60%"
"2020년 08월 07일","857.63","858.30","859.43","849.01","1.40B","0.41%"
"2020년 08월 06일","854.12","854.02","855.73","847.90","1.50B","0.81%"
"2020년 08월 05일","847.28","837.19","847.38","837.11","1.52B","1.43%"
"2020년 08월 04일","835.35","833.28","835.35","830.55","1.51B","0.94%"
"2020년 08월 03일","827.57","820.41","827.79","815.15","1.52B","1.50%"
"2020년 07월 31일","815.30","817.52","818.70","814.23","1.36B","0.14%"
"2020년 07월 30일","814.19","812.83","814.41","808.02","1.30B","0.69%"
"2020년 07월 29일","808.59","807.71","809.77","804.29","1.18B","0.09%"
"2020년 07월 28일","807.85","807.29","810.97","802.04","1.55B","0.83%"
"2020년 07월 27일","801.23","795.19","804.58","795.19","1.29B","0.81%"
"2020년 07월 24일","794.80","796.08","804.61","788.72","1.46B","-0.86%"
"2020년 07월 23일","801.69","796.46","803.07","792.27","1.38B","0.84%"
"2020년 07월 22일","794.99","790.58","795.32","785.97","1.48B","0.56%"
"2020년 07월 21일","790.58","787.30","792.20","785.75","1.50B","1.10%"
"2020년 07월 20일","781.96","786.25","786.29","776.97","1.40B","-0.16%"
"2020년 07월 17일","783.22","776.97","783.32","775.78","1.37B","1.05%"
"2020년 07월 16일","775.07","783.24","783.24","769.39","1.63B","-0.80%"
"2020년 07월 15일","781.29","783.14","783.29","775.96","1.53B","0.37%"
"2020년 07월 14일","778.39","776.19","782.70","775.29","1.64B","-0.36%"
"2020년 07월 13일","781.19","777.92","781.19","773.08","1.40B","1.08%"
"2020년 07월 10일","772.81","773.75","775.99","766.51","1.33B","-0.01%"
"2020년 07월 09일","772.90","770.46","774.50","769.31","1.47B","0.91%"
"2020년 07월 08일","765.96","761.19","765.96","758.38","1.31B","0.90%"
"2020년 07월 07일","759.16","763.40","764.46","755.44","1.29B","-0.10%"
"2020년 07월 06일","759.90","754.74","759.93","750.43","1.14B","1.03%"
"2020년 07월 03일","752.18","746.13","752.22","741.11","1.29B","1.30%"
"2020년 07월 02일","742.55","732.94","742.55","732.09","1.16B","2.06%"
"2020년 07월 01일","727.58","743.53","744.03","726.36","1.18B","-1.41%"
"2020년 06월 30일","737.97","744.54","744.54","731.76","1.64B","0.45%"
"2020년 06월 29일","734.69","743.88","747.30","732.86","1.35B","-2.12%"
"2020년 06월 26일","750.58","758.62","758.62","742.57","1.52B","0.03%"
"2020년 06월 25일","750.36","749.81","757.23","745.98","1.36B","-1.20%"
"2020년 06월 24일","759.50","758.15","765.21","755.12","1.33B","0.83%"
"2020년 06월 23일","753.23","758.61","761.37","744.26","1.58B","0.21%"
"2020년 06월 22일","751.64","742.98","752.98","741.78","1.34B","1.30%"
"2020년 06월 19일","742.03","743.35","743.94","732.55","1.53B","0.64%"
"2020년 06월 18일","737.33","738.11","743.12","732.92","1.24B","0.26%"
"2020년 06월 17일","735.40","731.91","743.11","717.68","1.41B","0.00%"
"2020년 06월 16일","735.38","716.60","735.74","714.14","1.32B","6.09%"
"2020년 06월 15일","693.15","745.60","747.21","693.15","1.47B","-7.09%"
"2020년 06월 12일","746.06","722.91","747.37","722.81","1.32B","-1.45%"
"2020년 06월 11일","757.06","760.07","766.96","752.04","1.45B","-0.21%"
"2020년 06월 10일","758.62","754.30","759.48","752.29","1.58B","0.64%"
"2020년 06월 09일","753.82","756.02","756.45","746.56","1.53B","0.10%"
"2020년 06월 08일","753.04","754.12","754.32","747.37","1.33B","0.50%"
"2020년 06월 05일","749.31","743.65","749.75","739.52","1.13B","0.93%"
"2020년 06월 04일","742.37","742.87","744.36","733.91","1.31B","0.64%"
"2020년 06월 03일","737.66","749.49","750.14","734.63","1.48B","-0.80%"
"2020년 06월 02일","743.58","737.67","743.70","735.06","1.46B","1.07%"
"2020년 06월 01일","735.72","716.96","735.72","716.83","1.28B","3.09%"
"2020년 05월 29일","713.68","706.16","714.51","700.84","1.47B","0.70%"
"2020년 05월 28일","708.75","728.76","728.80","695.30","2.10B","-2.19%"
"2020년 05월 27일","724.59","728.26","730.41","722.04","1.57B","-0.62%"
"2020년 05월 26일","729.11","723.28","729.16","718.81","1.55B","1.28%"
"2020년 05월 25일","719.89","712.88","719.89","708.60","1.60B","1.60%"
"2020년 05월 22일","708.58","717.78","719.15","702.50","1.70B","-1.04%"
"2020년 05월 21일","716.02","714.33","716.72","711.71","1.99B","1.02%"
"2020년 05월 20일","708.76","697.15","709.16","697.09","2.07B","1.78%"
"2020년 05월 19일","696.36","696.01","696.39","687.67","1.82B","0.80%"
"2020년 05월 18일","690.85","695.17","695.90","688.88","1.47B","-0.16%"
"2020년 05월 15일","691.93","695.80","696.91","686.23","1.36B","0.20%"
"2020년 05월 14일","690.57","687.92","693.68","684.33","1.57B","-0.14%"
"2020년 05월 13일","691.53","676.53","691.57","676.24","1.51B","1.07%"
"2020년 05월 12일","684.21","687.48","688.37","673.66","1.49B","-0.12%"
"2020년 05월 11일","685.04","686.81","690.34","676.60","1.54B","0.40%"
"2020년 05월 08일","682.30","674.01","682.94","673.52","1.68B","2.11%"
"2020년 05월 07일","668.17","659.45","669.03","658.93","1.74B","1.48%"
"2020년 05월 06일","658.40","650.15","658.40","647.52","1.51B","2.57%"
"2020년 05월 04일","641.91","637.00","648.57","635.16","1.28B","-0.51%"
"2020년 04월 29일","645.18","646.33","648.42","644.06","1.69B","0.04%"
"2020년 04월 28일","644.93","649.46","651.39","638.69","1.77B","-0.30%"
"2020년 04월 27일","646.86","638.90","647.11","638.58","1.72B","2.20%"
"2020년 04월 24일","632.96","640.19","645.22","629.12","1.78B","-1.68%"
"2020년 04월 23일","643.79","640.13","645.54","637.33","1.66B","1.36%"
"2020년 04월 22일","635.16","618.95","635.31","616.88","1.46B","1.02%"
"2020년 04월 21일","628.77","634.76","641.07","602.05","2.16B","-1.42%"
"2020년 04월 20일","637.82","635.71","643.05","634.20","1.57B","0.48%"
"2020년 04월 17일","634.79","631.34","634.79","628.05","1.64B","1.82%"
"2020년 04월 16일","623.43","606.69","623.59","603.15","1.37B","2.15%"
"2020년 04월 14일","610.29","605.14","611.36","602.05","1.60B","2.28%"
"2020년 04월 13일","596.71","609.94","611.06","596.71","2.01B","-2.38%"
"2020년 04월 10일","611.26","617.75","618.08","593.01","2.00B","-0.76%"
"2020년 04월 09일","615.95","616.67","618.37","610.66","1.81B","1.41%"
"2020년 04월 08일","607.37","604.46","615.32","599.30","2.36B","0.08%"
"2020년 04월 07일","606.90","606.21","606.90","593.22","2.11B","1.62%"
"2020년 04월 06일","597.21","579.25","597.21","577.83","1.53B","4.22%"
"2020년 04월 03일","573.01","571.29","576.27","564.02","1.37B","0.94%"
"2020년 04월 02일","567.70","555.40","567.70","542.75","1.68B","2.87%"
"2020년 04월 01일","551.84","568.88","579.76","551.30","1.90B","-3.03%"
"2020년 03월 31일","569.07","551.48","569.07","551.25","1.87B","4.97%"
"2020년 03월 30일","542.11","513.13","542.12","511.47","1.43B","3.69%"
"2020년 03월 27일","522.83","535.94","540.04","502.48","1.98B","1.20%"
"2020년 03월 26일","516.61","506.51","533.33","501.82","1.65B","2.16%"
"2020년 03월 25일","505.68","496.32","506.43","488.98","1.44B","5.26%"
"2020년 03월 24일","480.40","457.21","480.40","454.24","1.14B","8.26%"
"2020년 03월 23일","443.76","443.51","455.97","435.81","1.09B","-5.13%"
"2020년 03월 20일","467.75","443.88","467.75","435.11","1.24B","9.20%"
"2020년 03월 19일","428.35","501.59","502.12","419.55","1.65B","-11.71%"
"2020년 03월 18일","485.14","520.79","526.10","485.14","1.32B","-5.75%"
"2020년 03월 17일","514.73","488.02","518.72","483.51","1.37B","2.03%"
"2020년 03월 16일","504.51","538.68","541.87","504.51","1.20B","-3.72%"
"2020년 03월 13일","524.00","536.62","540.30","487.07","1.52B","-7.01%"
"2020년 03월 12일","563.49","589.20","594.32","555.47","1.64B","-5.39%"
"2020년 03월 11일","595.61","621.12","622.07","591.38","1.57B","-3.93%"
"2020년 03월 10일","619.97","606.89","619.98","604.51","1.43B","0.87%"
"2020년 03월 09일","614.60","631.13","632.52","614.58","1.32B","-4.38%"
"2020년 03월 06일","642.72","642.33","647.83","637.20","1.11B","-1.15%"
"2020년 03월 05일","650.19","647.75","650.81","643.97","1.08B","1.32%"
"2020년 03월 04일","641.73","623.75","641.73","623.55","1.10B","2.38%"
"2020년 03월 03일","626.82","641.65","641.77","626.71","1.23B","-0.13%"
"2020년 03월 02일","627.66","617.88","627.71","607.32","1.19B","2.77%"
"2020년 02월 28일","610.73","626.36","631.25","608.38","1.39B","-4.30%"
"2020년 02월 27일","638.17","654.61","660.89","634.79","1.23B","-2.51%"
"2020년 02월 26일","654.63","644.02","658.29","642.98","1.14B","-0.35%"
"2020년 02월 25일","656.95","639.28","656.96","633.65","1.21B","2.76%"
"2020년 02월 24일","639.29","653.40","656.31","639.22","1.48B","-4.30%"
"2020년 02월 21일","667.99","673.57","680.28","667.47","1.43B","-2.01%"
"2020년 02월 20일","681.66","687.65","688.51","677.99","1.46B","-0.46%"
"2020년 02월 19일","684.78","686.89","688.11","673.64","1.60B","0.27%"
"2020년 02월 18일","682.92","691.42","692.52","681.44","1.78B","-1.40%"
"2020년 02월 17일","692.59","690.35","692.64","686.73","1.52B","0.53%"
"2020년 02월 14일","688.91","687.23","692.00","685.67","1.50B","0.19%"
"2020년 02월 13일","687.61","689.54","691.43","681.77","1.35B","0.15%"
"2020년 02월 12일","686.59","683.26","686.79","680.26","1.33B","0.62%"
"2020년 02월 11일","682.34","678.97","682.34","678.43","1.17B","0.93%"
"2020년 02월 10일","676.07","669.53","676.08","668.10","979.10M","0.51%"
"2020년 02월 07일","672.63","673.11","674.03","667.93","1.02B","-0.01%"
"2020년 02월 06일","672.69","665.94","672.69","665.88","946.33M","1.72%"
"2020년 02월 05일","661.32","666.74","668.91","658.03","991.28M","0.01%"
"2020년 02월 04일","661.24","650.72","661.24","649.22","938.25M","2.22%"
"2020년 02월 03일","646.85","631.82","648.34","627.65","1.19B","0.68%"
"2020년 01월 31일","642.48","660.98","664.77","641.57","1.34B","-2.12%"
"2020년 01월 30일","656.39","670.65","673.17","652.42","1.21B","-2.06%"
"2020년 01월 29일","670.18","671.08","671.98","664.09","1.06B","0.82%"
"2020년 01월 28일","664.70","660.79","668.22","658.78","1.16B","-3.04%"
"2020년 01월 23일","685.57","685.94","687.71","683.52","957.78M","-0.39%"
"2020년 01월 22일","688.25","677.05","688.28","677.05","1.01B","1.73%"
"2020년 01월 21일","676.52","683.82","685.89","675.48","1.03B","-1.02%"
"2020년 01월 20일","683.47","690.85","691.17","682.48","1.02B","-0.72%"
"2020년 01월 17일","688.41","689.73","690.61","686.68","1.03B","0.28%"
"2020년 01월 16일","686.52","679.67","686.52","679.49","880.29M","1.08%"
"2020년 01월 15일","679.16","678.83","681.39","676.91","908.21M","0.07%"
"2020년 01월 14일","678.71","682.14","685.88","676.78","897.26M","-0.08%"
"2020년 01월 13일","679.22","673.76","679.22","673.23","894.40M","0.92%"
"2020년 01월 10일","673.03","668.79","673.03","665.92","837.39M","1.04%"
"2020년 01월 09일","666.09","657.01","666.09","656.25","980.62M","3.92%"
"2020년 01월 08일","640.94","657.24","658.14","637.43","1.38B","-3.39%"
"2020년 01월 07일","663.44","660.87","664.21","659.18","970.31M","1.24%"
"2020년 01월 06일","655.31","660.08","663.10","653.61","884.28M","-2.18%"
"2020년 01월 03일","669.93","677.57","679.37","668.10","903.86M","-0.61%"
"2020년 01월 02일","674.02","672.53","674.30","666.62","783.73M","0.63%"
"2019년 12월 30일","669.83","662.06","669.83","661.62","789.33M","1.30%"
"2019년 12월 27일","661.24","652.60","661.59","652.17","807.71M","1.41%"
"2019년 12월 26일","652.07","640.77","652.09","640.20","921.88M","2.06%"
"2019년 12월 24일","638.91","648.71","648.71","638.74","763.09M","-1.34%"
"2019년 12월 23일","647.62","651.77","652.81","646.68","725.86M","-0.32%"
"2019년 12월 20일","649.73","650.19","651.20","647.90","944.57M","0.29%"
"2019년 12월 19일","647.85","650.30","653.65","645.11","808.15M","-0.17%"
"2019년 12월 18일","648.95","650.87","651.71","647.73","882.12M","-0.25%"
"2019년 12월 17일","650.58","646.80","650.58","646.04","851.06M","0.95%"
"2019년 12월 16일","644.44","644.91","646.56","643.24","794.17M","0.15%"
"2019년 12월 13일","643.45","643.34","645.73","641.87","913.75M","1.02%"
"2019년 12월 12일","636.94","632.29","638.92","631.25","941.20M","1.24%"
"2019년 12월 11일","629.13","627.26","630.60","626.57","817.89M","0.32%"
"2019년 12월 10일","627.11","627.62","627.76","623.54","763.03M","-0.12%"
"2019년 12월 09일","627.86","630.60","630.63","625.59","778.73M","-0.04%"
"2019년 12월 06일","628.10","619.48","628.11","619.48","726.66M","1.70%"
"2019년 12월 05일","617.60","629.49","629.60","613.77","901.71M","-1.23%"
"2019년 12월 04일","625.27","626.06","630.45","622.67","928.17M","-0.68%"
"2019년 12월 03일","629.58","630.07","632.01","627.00","868.95M","-0.78%"
"2019년 12월 02일","634.50","635.58","638.35","632.22","845.65M","0.24%"
"2019년 11월 29일","632.99","641.72","643.27","631.40","940.62M","-1.12%"
"2019년 11월 28일","640.18","646.27","649.37","640.18","882.47M","-1.11%"
"2019년 11월 27일","647.39","653.74","653.87","646.89","859.36M","-0.64%"
"2019년 11월 26일","651.59","650.79","653.54","649.78","868.85M","0.65%"
"2019년 11월 25일","647.40","639.50","647.41","639.50","826.79M","2.13%"
"2019년 11월 22일","633.92","637.99","640.77","629.74","1.05B","-0.33%"
"2019년 11월 21일","635.99","650.56","651.23","634.29","1.05B","-2.14%"
"2019년 11월 20일","649.87","661.45","663.76","648.82","1.29B","-1.91%"
"2019년 11월 19일","662.53","669.11","669.24","662.24","1.16B","-1.02%"
"2019년 11월 18일","669.34","670.07","671.09","666.82","1.09B","0.12%"
"2019년 11월 15일","668.51","662.87","668.54","660.64","1.11B","0.78%"
"2019년 11월 14일","663.31","663.25","666.05","659.21","1.36B","0.22%"
"2019년 11월 13일","661.85","665.37","665.48","659.95","1.36B","-0.49%"
"2019년 11월 12일","665.14","662.11","665.86","661.42","1.08B","0.57%"
"2019년 11월 11일","661.37","666.13","666.13","658.70","922.61M","-0.49%"
"2019년 11월 08일","664.60","669.34","670.59","662.46","952.99M","-0.23%"
"2019년 11월 07일","666.15","668.73","669.57","663.70","1.03B","-0.53%"
"2019년 11월 06일","669.68","672.12","673.86","669.25","1.09B","-0.37%"
"2019년 11월 05일","672.18","669.47","672.18","666.00","987.48M","0.56%"
"2019년 11월 04일","668.45","667.20","669.66","665.63","921.19M","0.92%"
"2019년 11월 01일","662.34","658.16","662.34","656.13","820.17M","0.58%"
"2019년 10월 31일","658.52","658.45","661.65","656.96","892.49M","0.53%"
"2019년 10월 30일","655.04","660.60","660.60","654.15","892.70M","-0.50%"
"2019년 10월 29일","658.30","656.85","658.76","653.83","954.72M","0.90%"
"2019년 10월 28일","652.42","655.05","657.29","651.95","933.70M","0.01%"
"2019년 10월 25일","652.37","657.60","658.77","651.29","1.01B","-0.97%"
"2019년 10월 24일","658.75","658.53","662.27","647.53","1.07B","-0.03%"
"2019년 10월 23일","658.98","656.88","660.38","654.78","1.03B","0.47%"
"2019년 10월 22일","655.91","653.17","660.35","651.10","883.77M","1.04%"
"2019년 10월 21일","649.18","646.79","649.18","645.35","767.92M","0.39%"
"2019년 10월 18일","646.69","651.55","651.97","645.59","866.09M","-0.40%"
"2019년 10월 17일","649.29","653.08","654.67","646.61","1.04B","-0.41%"
"2019년 10월 16일","651.96","650.61","652.73","649.88","860.25M","0.80%"
"2019년 10월 15일","646.80","641.51","647.40","641.49","737.77M","0.83%"
"2019년 10월 14일","641.46","638.65","643.41","637.69","681.42M","1.34%"
"2019년 10월 11일","632.95","638.22","638.49","632.92","767.47M","-0.28%"
"2019년 10월 10일","634.73","633.96","635.85","630.59","715.23M","-0.11%"
"2019년 10월 08일","635.41","628.03","635.94","624.92","864.37M","1.31%"
"2019년 10월 07일","627.21","625.25","627.82","622.45","753.05M","0.86%"
"2019년 10월 04일","621.84","623.08","627.15","619.53","792.98M","-0.43%"
"2019년 10월 02일","624.51","627.75","630.62","624.47","1.25B","-1.20%"
"2019년 10월 01일","632.10","623.70","632.12","621.76","875.34M","1.66%"
"2019년 09월 30일","621.76","625.69","627.30","615.64","745.97M","-0.82%"
"2019년 09월 27일","626.93","628.41","628.41","623.32","724.11M","-0.24%"
"2019년 09월 26일","628.42","632.31","635.64","622.55","838.49M","0.26%"
"2019년 09월 25일","626.76","641.08","641.23","626.02","987.73M","-2.35%"
"2019년 09월 24일","641.85","643.45","646.60","641.17","778.01M","-0.49%"
"2019년 09월 23일","645.01","648.81","649.22","644.39","747.64M","-0.63%"
"2019년 09월 20일","649.07","647.50","650.03","645.91","844.70M","0.52%"
"2019년 09월 19일","645.71","646.83","651.45","643.00","867.28M","0.09%"
"2019년 09월 18일","645.12","646.25","648.95","644.32","909.11M","0.13%"
"2019년 09월 17일","644.28","637.10","646.05","636.00","823.51M","0.89%"
"2019년 09월 16일","638.59","634.67","638.59","630.16","622.05M","1.30%"
